,Model,Scenario,Region,Variable,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
5274,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Gross Domestic Product (GDP)(physical),"% difference,  2017 PPP ; US$ Bn",0.0,-1.737459131026009,-2.337842328571138,-2.843210927338102,-3.269669850069667,-3.658191846089109,-4.039786107901189,-4.436256158871754,-4.88359804320031,-5.288266445705759,-5.690233214201768,-6.118867712718989,-6.586082070307064,-7.073512861084419,-7.585252392211839,-7.985660430310326,-8.351375007094841,-8.68913432337658,-8.993424712165087,-9.286873329090216,-9.577545642789945,-9.847291418177262,-10.17537291197219,-10.56739726247237,-10.9903611273376,-11.38735101153788,-11.73439021115723,-12.01740112446634,-12.22267871031307
5275,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Gross Domestic Product (GDP)(transition),"% difference,  2017 PPP ; US$ Bn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0315066766268135,-0.0517182581716513,-0.0237799137389749,-0.0090772291720941,-0.0269768797708569,-0.0812085443971599,-0.1638163843921903,-0.2617578443707691,-0.3636355680529779,-0.461168015225033,-0.555659218042448,-0.6446172417167939,-0.718830477864707,-0.7733946299178007,-0.8077416835045703,-0.824281160123641,-0.8283718423087283,-0.8274029796049409,-0.8265959144712287,-0.8275574230474314
5288,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Inflation rate ; %(combined(no bus)),Abs. difference,0.0,0.0237924818939063,0.1641345359385014,0.2599804699420929,0.2890177071094513,0.3048243522644043,0.3063836395740509,0.302430123090744,0.3046263456344604,0.5418787002563477,0.6656362414360046,0.6986235976219177,0.8075160980224609,0.9180882573127748,0.9641059637069702,0.9620246887207032,0.9108542799949646,0.810096800327301,0.6949946880340576,0.5420663952827454,0.3892745971679688,0.2727247476577759,0.1829123497009277,0.1416403651237488,0.1515243053436279,0.1894991397857666,0.2345011830329895,0.2541669607162476,0.2363424897193909
5289,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Inflation rate ; %(combined),Abs. difference,0.0,0.0237924818939063,0.1641345359385014,0.2599804699420929,0.2890177071094513,0.3048243522644043,0.3063836395740509,0.302430123090744,0.3046263456344604,0.4688937664031982,0.422216534614563,0.3031945824623108,0.5526913404464722,0.8948662877082825,1.03817754983902,1.075637221336365,1.059884965419769,0.98007333278656,0.8604764342308044,0.6833074688911438,0.4978213310241699,0.347723662853241,0.2266371846199036,0.1578828692436218,0.1456882357597351,0.1684566736221313,0.2056775689125061,0.2242164015769958,0.2101762294769287
5290,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Inflation rate ; %(physical),Abs. difference,0.0,0.0237924818939063,0.1641344986855984,0.2599803805351257,0.2890175879001617,0.30482417345047,0.3063836395740509,0.302430123090744,0.3046262264251709,0.318952202796936,0.3326205015182495,0.3405925035476685,0.3533300161361694,0.3758997917175293,0.4042313694953918,0.4308142066001892,0.4271660447120667,0.3930961489677429,0.3509334921836853,0.3047405481338501,0.261971116065979,0.2286607623100281,0.2025201320648193,0.2007842659950256,0.2360770702362061,0.2889326214790344,0.3276530504226685,0.3315212726593018,0.2963926196098328
5291,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Inflation rate ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222118973731995,0.3324263095855713,0.3558444976806641,0.4466559290885925,0.5282810926437378,0.5407003164291382,0.5090693831443787,0.4612169861793518,0.3964493870735168,0.326833188533783,0.2241814732551575,0.1187669038772583,0.0404497385025024,-0.0188567638397216,-0.0551941394805908,-0.0786528587341308,-0.0934937000274658,-0.0893913507461547,-0.0773243904113769,-0.0648307204246521
5292,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term interest rate ; %(combined(no bus)),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678427219390869,0.090309739112854,0.1273458003997803,0.1684849262237549,0.2108051776885986,0.2528389692306519,0.2907350063323975,0.3240154981613159,0.3514591455459595,0.3718776702880859,0.3858782052993774,0.3973706960678101,0.4057381153106689,0.4103344678878784,0.410732626914978,0.408185601234436,0.4067733287811279,0.405895471572876,0.4053195714950562,0.4050675630569458
5293,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term interest rate ; %(combined),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.100562572479248,-0.037907600402832,0.0666646957397461,0.1560945510864258,0.219482421875,0.2741951942443848,0.3211036920547485,0.3592468500137329,0.3875076770782471,0.4059114456176758,0.4165343046188354,0.4244929552078247,0.4295064210891724,0.4309566020965576,0.4284482002258301,0.4233129024505615,0.4197258949279785,0.4171576499938965,0.4154337644577026,0.4146062135696411
5294,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term interest rate ; %(physical),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5295,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term interest rate ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678427219390869,0.090309739112854,0.1273458003997803,0.1684849262237549,0.2108051776885986,0.2528389692306519,0.2907350063323975,0.3240154981613159,0.3514591455459595,0.3718776702880859,0.3858782052993774,0.3973706960678101,0.4057381153106689,0.4103344678878784,0.410732626914978,0.408185601234436,0.4067733287811279,0.405895471572876,0.4053195714950562,0.4050675630569458
