,Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
198097,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Oil|w/o CCS,EJ/yr,28.6757649,32.09210820000001,32.5766812,30.6362389,27.4194907,23.6390712,19.4110541,15.0029529,11.184183,,7.2293722,,4.649027,,3.4165982,,2.8869862
198098,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Solar,EJ/yr,1.1872358,3.8075694,8.075538200000002,13.7556771,21.3183255,27.132685,28.8432295,28.4271875,27.2879803,,22.76052219999999,,21.5760965,,21.0559067,,20.2952142
198099,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Wind,EJ/yr,2.0086433,3.6292399,5.3358459,8.018082099999999,11.0090717,13.7361723,15.4122984,16.3547848,17.7647909,,17.5794092,,16.379862,,15.5891232,,14.7714115
199213,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Price|Carbon,US$2010/t CO2,28.000025424,28.000025424,28.000025424,220.8492360480001,386.215671856,551.582107664,716.9485434719999,721.5029768800002,726.057410176,,735.166276768,,744.2751433600001,,753.384009952,,762.4928765440001
199267,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy,EJ/yr,66.20725530000001,64.3614221,60.70824870000001,55.70531780000001,42.6506063,40.8561887,40.6155973,40.3676988,40.69641190000001,,38.6161555,,38.358614,,38.5462986,,38.3608192
199268,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass,EJ/yr,8.1829064,9.0216013,9.1214536,8.5698411,9.4111043,10.4311603,11.2865279,11.7425225,12.0618745,,11.6961539,,10.9436536,,10.2989914,,10.6929398
199269,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|1st Generation,EJ/yr,1.2306758,1.664586,1.6533599,1.6170583,1.9354864,1.8143761,1.8505229,1.8505229,1.8505229,,1.8505229,,1.8505229,,1.8505229,,1.8505229
199270,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Electricity,EJ/yr,1.3433539,1.382651,1.3556983,1.2919432,1.2337022,1.0839808,0.9533459,0.8715109,0.8320997000000001,,0.7519488000000001,,0.7648305,,0.7843556999999999,,0.8542245
199271,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Electricity|w/ CCS,EJ/yr,0.0,7.4e-06,8.099999999999999e-06,0.048197,0.1665541,0.2559372,0.3632569,0.468139,0.5828209,,0.7104001999999999,,0.7647992000000001,,0.7843341999999999,,0.8542122999999999
199272,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Electricity|w/o CCS,EJ/yr,1.3433539,1.3826435,1.3556901,1.2437462,1.067148,0.8280436000000001,0.590089,0.4033719000000001,0.2492788,,0.0415485,,3.13e-05,,2.16e-05,,1.21e-05
199273,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Energy Crops,EJ/yr,0.0,0.3243713,0.5044716,0.0347665,0.7044039999999999,1.9173204,2.7596238,3.1910661,3.2749041,,2.379010099999999,,1.1447162,,0.0,,0.087737
199274,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Gases,EJ/yr,0.0305768,0.0312747,0.0311004,0.0559124,0.2425859,0.3637169,0.3524946,0.3427641,0.3361521,,0.2985351,,0.209791,,0.1118043,,0.0787918
199275,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Heat,EJ/yr,2.4931567,3.2491120000000002,3.806438599999999,3.727388700000001,3.5428633,3.2412362,2.8203415,2.2882545,1.6653199,,0.5406545,,0.0053303,,1.58e-05,,9.199999999999998e-06
199276,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Hydrogen,EJ/yr,0.0,0.0614632,0.2026126,0.3177755,0.8704355,1.976046,2.7015648,2.9534132,2.8708095,,2.4333251,,1.469642,,0.2899100000000001,,4.2e-06
199277,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Liquids,EJ/yr,1.2306758,1.664586,1.6533792,1.6607957,2.3791973,3.0869115,4.122113699999999,5.1084254,6.203603700000001,,7.552183599999999,,8.462940900000001,,9.1129001,,9.7599075
199278,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Modern,EJ/yr,8.039723299999999,8.9037064,9.030373499999998,8.5073002,9.3787756,10.4227544,11.2865279,11.7425225,12.0618745,,11.6961539,,10.9436536,,10.2989914,,10.6929398
199279,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Residues,EJ/yr,6.9522307,7.032644,6.963622100000001,6.9180163,6.771213900000001,6.699463700000001,6.6763813,6.7009335,6.936447500000001,,7.466620900000001,,7.948414499999999,,8.448468499999999,,8.7546799
199280,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Solids,EJ/yr,3.0851432,2.6325143,2.0722245,1.5160257,1.1423201,0.6792688999999998,0.3366675,0.1781544,0.1538897,,0.1195068,,0.0311188,,5.5e-06,,2.6e-06
199281,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Biomass|Traditional,EJ/yr,0.1431831,0.1178949,0.0910801,0.0625409,0.0323287,0.0084058,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0
199282,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal,EJ/yr,9.0886963,6.6491658,5.456678200000001,4.3349233,0.255158,0.1057072,0.0924875999999999,0.0780379,0.0587271,,0.0355837,,0.05314,,0.0531378,,0.0475052
199283,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Electricity,EJ/yr,4.3996778,1.987437,0.5963102999999998,0.2443466,0.0327397,0.0006144999999999,0.0001844,1.79e-05,1.76e-05,,1.71e-05,,3.9e-06,,3.5e-06,,2.6e-06
199284,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Electricity|w/ CCS,EJ/yr,0.0,6.099999999999999e-06,6.3e-06,6.3e-06,6.2e-06,6.2e-06,6.2e-06,6.099999999999999e-06,6e-06,,5.6e-06,,3.9e-06,,3.5e-06,,2.6e-06
199285,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Electricity|w/o CCS,EJ/yr,4.3996778,1.9874309,0.596304,0.2443403,0.0327335,0.0006081999999999,0.0001782,1.18e-05,1.16e-05,,1.15e-05,,0.0,,0.0,,0.0
199286,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Gases,EJ/yr,0.000207,0.0001586,0.000113,7.02e-05,3.27e-05,7.8e-06,4.7e-06,4.7e-06,4.7e-06,,4.7e-06,,0.0,,0.0,,0.0
199287,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Heat,EJ/yr,0.9358211,0.7602768999999999,0.5180378,0.2063102,0.02489,0.0002756,7.980000000000002e-05,4.5e-06,4.5e-06,,4.5e-06,,0.0,,0.0,,0.0
199288,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Hydrogen,EJ/yr,3.45e-05,2.58e-05,2.24e-05,1.53e-05,9.7e-06,8.599999999999999e-06,8.599999999999999e-06,8.599999999999999e-06,8.599999999999999e-06,,8.599999999999999e-06,,3.5e-06,,3e-06,,1.9e-06
199289,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Liquids,EJ/yr,8.39e-05,8.070000000000001e-05,8.080000000000001e-05,6.94e-05,5.09e-05,2.3e-05,1.34e-05,1.34e-05,1.71e-05,,1.34e-05,,5e-06,,3.7e-06,,9e-07
199290,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|Solids,EJ/yr,3.7528719,3.9011869,4.342113999999999,3.8841117,0.197435,0.1047777,0.0921967,0.0779888,0.0586746,,0.0355353999999999,,0.0531276,,0.0531276,,0.0474998
199291,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|w/ CCS,EJ/yr,0.0,6.099999999999999e-06,1.75e-05,1.75e-05,1.74e-05,1.74e-05,1.74e-05,1.73e-05,2.09e-05,,1.68e-05,,1.24e-05,,1.02e-05,,5.4e-06
199292,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Coal|w/o CCS,EJ/yr,9.0886963,6.6491598,5.456660700000001,4.334905799999999,0.2551406,0.1056898,0.0924702,0.0780205,0.0587062,,0.0355668999999999,,0.0531276,,0.0531276,,0.0474998
199293,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Fossil,EJ/yr,51.0443218,45.89617330000001,38.9575042,31.0003313,13.5163622,8.8830959,6.9854558,5.9234566,4.8006893,,3.5319221,,2.9486394,,2.5220737,,1.5671225
199294,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Fossil|w/ CCS,EJ/yr,0.0,0.0108704,0.0108766,0.0108378,0.0106699,0.0102561,0.0094274999999999,0.0079703,0.0056303,,2.43e-05,,1.56e-05,,1.27e-05,,6.9e-06
199295,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Fossil|w/o CCS,EJ/yr,51.0443218,45.88530290000001,38.94662769999999,30.98949349999999,13.5056923,8.872839800000003,6.976028300000001,5.9154863,4.795059,,3.5318979,,2.9486238,,2.522061,,1.5671156
199296,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Gas,EJ/yr,17.1562907,16.8365086,14.026879,10.720817,3.6640434,1.558725,1.2421971,1.1019277,1.0144074,,0.736325,,0.5851613999999999,,0.529492,,0.3231313
199297,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Gas|Electricity,EJ/yr,4.8483067,4.8576183,2.9152378,0.9856779,0.2761574,0.153018,0.0935508999999999,0.0495237,0.0119768,,0.0019118,,3.2e-06,,2.6e-06,,1.5e-06
199298,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Gas|Electricity|w/ CCS,EJ/yr,0.0,3.5e-06,3.5e-06,3.5e-06,3.5e-06,3.5e-06,3.5e-06,3.5e-06,3.5e-06,,3.4e-06,,3.1e-06,,2.5e-06,,1.5e-06
199299,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Gas|Electricity|w/o CCS,EJ/yr,4.8483067,4.857614699999999,2.9152342,0.9856744,0.2761539,0.1530145,0.0935473999999999,0.0495202,0.0119733,,0.0019085,,1e-07,,1e-07,,0.0
199300,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|EU 28,Primary Energy|Gas|Gases,EJ/yr,11.7471313,11.4901046,10.5499706,9.081223499999998,3.2195459,1.3953089,1.1391809,1.0444301,0.9968045,,0.7344008999999999,,0.5851582,,0.5294895,,0.3231298
